dataset,k,method,tradeoff,risk,return,active_count,hhi,effective_n,top1_share,top3_share
port1,16,weighted_sum,min_risk,0.0006463458526008819,0.002849868835711014,16,0.13985295659820537,7.150367245170076,0.2810574915,0.5262245371
port1,16,weighted_sum,balanced,0.0015596817593577224,0.008001556336887143,16,0.32763628945566975,3.0521649529769297,0.4042550605,0.9364626779
port1,16,weighted_sum,max_return,0.004668628537593636,0.010772564000077402,16,0.9702400000000003,1.030672823218997,0.985,0.987
port1,16,epsilon_constraint,min_risk,0.0007910929714380659,0.005495498698197445,16,0.1958774301831972,5.105233405731,0.3024875489,0.6809663585
port1,16,epsilon_constraint,balanced,0.0012894877890000309,0.007477835956959338,16,0.3003666382208463,3.3292645478981067,0.4039507515,0.8740666059000001
port1,16,epsilon_constraint,max_return,0.0020365918670651696,0.008683173100405336,16,0.38524999105064145,2.59571712713823,0.526881063,0.9808952059
port1,16,nsga2,min_risk,0.0006871569503138377,0.003981798646359635,16,0.1537522344008984,6.5039705204710625,0.2779254214,0.5998957773
port1,16,nsga2,balanced,0.000880491371180926,0.006019641256483343,16,0.21715923556779376,4.604915823107212,0.3416240325,0.7211611674
port1,16,nsga2,max_return,0.0012595211819844937,0.007357822946634306,16,0.2675978033863113,3.736951452312086,0.350244955,0.8255241699
port1,2,weighted_sum,min_risk,0.0009054648916407917,0.004494336561607002,2,0.5287112927964132,1.8913914146052908,0.6198150508,1.0
port1,2,weighted_sum,balanced,0.0016859002718507309,0.008109038855864836,2,0.5042230068699525,1.9832494479132656,0.5459510983,1.0
port1,2,weighted_sum,max_return,0.004768301006834942,0.010861250000050525,2,0.9980020000000001,1.002001999995992,0.999,1.0
port1,2,epsilon_constraint,min_risk,0.0008185511052027995,0.0022032417731258757,2,0.5239351638321731,1.9086331077413998,0.6093964438,1.0
port1,2,epsilon_constraint,balanced,0.0015528572256525615,0.00787144312818238,2,0.5173048446213507,1.9330961432073295,0.5930183977,1.0
port1,2,epsilon_constraint,max_return,0.003608751465357629,0.010160216651966805,2,0.694760108502847,1.4393457364080975,0.8120577739,1.0
port1,2,nsga2,min_risk,0.0007987285182071979,0.0021700602514379023,2,0.500349437397956,1.9986032265779163,0.5132181201,1.0
port1,2,nsga2,balanced,0.0017074431536475713,0.00814429162061905,2,0.5030369456732051,1.987925556167089,0.538967587,1.0
port1,2,nsga2,max_return,0.0044909799181683495,0.010655775980590842,2,0.9334602276170711,1.0712829217724584,0.9655428163,1.0
port1,4,weighted_sum,min_risk,0.0006842918436906067,0.003111730037197842,4,0.26718150124269535,3.7427740893320536,0.3628213023,0.7993531508
port1,4,weighted_sum,balanced,0.0018529090266370828,0.008470664688954858,4,0.37719782458465667,2.651128757439491,0.4793324911,0.9990000000000001
port1,4,weighted_sum,max_return,0.0047550181424280535,0.010850631000076048,4,0.9940120000000001,1.0060240721439981,0.997,0.999
port1,4,epsilon_constraint,min_risk,0.0008039358559782611,0.005376965904994054,4,0.2873710202949894,3.47982200492412,0.398503984,0.8662033122
port1,4,epsilon_constraint,balanced,0.0014639199651152884,0.007856027243452572,4,0.3245551581240384,3.0811403700378728,0.3883225974,0.9262685302
port1,4,epsilon_constraint,max_return,0.0026884905138216046,0.009401750906491124,4,0.4936638488001601,2.0256699015544273,0.6586901679,0.999
port1,4,nsga2,min_risk,0.0007024393699019219,0.0040127773446328365,4,0.26361702531541165,3.7933817013659237,0.3450096582,0.8110364666000001
port1,4,nsga2,balanced,0.0012960710484944962,0.007511979149820094,4,0.29572588115980913,3.38150991748877,0.3855407075,0.8644937276
port1,4,nsga2,max_return,0.0026726433354107544,0.009367349789259214,4,0.4941297923089419,2.0237597804561758,0.6685119296,0.9734223574
port1,8,weighted_sum,min_risk,0.0006446292055525299,0.0027688648327004613,8,0.17199115988191882,5.81425231788979,0.3084372442,0.5961716506
port1,8,weighted_sum,balanced,0.0016744120754574503,0.008204155216440159,8,0.3477506232069004,2.875623890413655,0.4356125936,0.9650098987
port1,8,weighted_sum,max_return,0.00472543401148501,0.01082691700001733,8,0.9860560000000002,1.0141411846791661,0.993,0.995
port1,8,epsilon_constraint,min_risk,0.0008636299766954404,0.005965308999621381,8,0.22026282853995072,4.540030683473324,0.3582454888,0.7027214595
port1,8,epsilon_constraint,balanced,0.0014419628308413011,0.007809234495426767,8,0.3212946972849723,3.112407420509185,0.3914664339,0.9220967036000001
port1,8,epsilon_constraint,max_return,0.002516366464491874,0.009229542036296348,8,0.4614488427377467,2.167087458854731,0.6274926186,0.9950000000000001
port1,8,nsga2,min_risk,0.000689954463064687,0.004218406476497945,8,0.19425978619260909,5.147745807814785,0.2997336818,0.7027825123
port1,8,nsga2,balanced,0.0011502085631658182,0.007101161549496629,8,0.2743890530346772,3.6444602615893,0.3958269855,0.822132255
port1,8,nsga2,max_return,0.0020098938786830686,0.008625094122973452,8,0.40667959824143335,2.458938201779009,0.5375321298,0.9683428376000001
port2,16,weighted_sum,min_risk,0.00013845713910623142,0.002114818194039613,16,0.08551826004395949,11.693409097495245,0.1711957547,0.38951819990000003
port2,16,weighted_sum,balanced,0.0006062906239026154,0.008412237285360958,16,0.30161826453264334,3.3154490877715816,0.4212999304,0.9055420757000001
port2,16,weighted_sum,max_return,0.0027590830734326344,0.009712529000033918,16,0.9702400000000002,1.0306728232189972,0.985,0.987
port2,16,epsilon_constraint,min_risk,0.0002201494202828459,0.00522020836553012,16,0.0959146745506986,10.425933306706053,0.1739443095,0.402061167
port2,16,epsilon_constraint,balanced,0.0005268608615202363,0.008050495678949658,16,0.25395373347979966,3.9377251371637874,0.3688419215,0.8122339489999999
port2,16,epsilon_constraint,max_return,0.0010965658780606666,0.00924999892613565,16,0.48651412641158603,2.0554387749761043,0.5071796758,0.987
port2,16,nsga2,min_risk,0.00016149565863961493,0.003078518572508156,16,0.08314971553176129,12.026499352460478,0.1453845498,0.37389128810000005
port2,16,nsga2,balanced,0.00023057569948393335,0.005275453196411437,16,0.09566773769476081,10.452844648533635,0.1922233975,0.40187708080000006
port2,16,nsga2,max_return,0.00035726305994164027,0.0066417103291223625,16,0.13753635315041826,7.2708049696965436,0.2285972857,0.5701573291
port2,2,weighted_sum,min_risk,0.00040512611502791765,0.0015007236435653753,2,0.5004582658391684,1.9981686151655424,0.5151371371,1.0
port2,2,weighted_sum,balanced,0.0009842282174038265,0.009166483355111712,2,0.5439626463442593,1.8383615248594238,0.6482609968,1.0
port2,2,weighted_sum,max_return,0.0028297111669254842,0.009793032000084637,2,0.9980020000000001,1.002001999995992,0.999,1.0
port2,2,epsilon_constraint,min_risk,0.0003587911822119003,0.0022327084352789695,2,0.5019252303782152,1.9923286168469176,0.5310260405,1.0
port2,2,epsilon_constraint,balanced,0.0009358299761507045,0.008472350361422479,2,0.6073485176657041,1.6465010960155477,0.7316770572,1.0
port2,2,epsilon_constraint,max_return,0.0028297111669189513,0.00979303200007334,2,0.9980020000000001,1.002001999995992,0.999,1.0
port2,2,nsga2,min_risk,0.00027367025241907636,0.0016536747727217463,2,0.5006532089702577,1.9973905731210584,0.518072202,1.0
port2,2,nsga2,balanced,0.0008341282396886093,0.00828122286359466,2,0.5150212219437629,1.9416675612431245,0.5866637812,1.0
port2,2,nsga2,max_return,0.002425419064034895,0.009717867132644706,2,0.8550722242722162,1.1694918529848601,0.9213503437,1.0
port2,4,weighted_sum,min_risk,0.00023892991737707885,0.0019141127674316195,4,0.311702057776438,3.208191845551529,0.4489100826,0.8933383765999999
port2,4,weighted_sum,balanced,0.0006560561155196662,0.008605275337206932,4,0.32815703739254576,3.0473215139487833,0.4451659317,0.9485142049
port2,4,weighted_sum,max_return,0.002819454529979185,0.00978649100002647,4,0.994012,1.0060240721439984,0.997,0.999
port2,4,epsilon_constraint,min_risk,0.00031406606443522864,0.005038786855435333,4,0.25889342169713175,3.8625933152131493,0.3228556361,0.7939738568000001
port2,4,epsilon_constraint,balanced,0.0006392217718647041,0.008549720295093636,4,0.31985390391213947,3.1264273712747603,0.4376351601,0.9352208098999999
port2,4,epsilon_constraint,max_return,0.0019406200735808592,0.009607471322960817,4,0.6940200289012669,1.4408806062602302,0.8120623172,0.999
port2,4,nsga2,min_risk,0.00020431151014245415,0.002784126426016208,4,0.29985837221462763,3.3349077186487115,0.3621867668,0.8976652982000001
port2,4,nsga2,balanced,0.0005381116654853599,0.008069527173929336,4,0.27511077113662014,3.6348994838279145,0.3736779835,0.8255173940999999
port2,4,nsga2,max_return,0.0014153431569235997,0.009355247052326819,4,0.5277343206167122,1.8948928673643897,0.664357994,0.9906982257999999
port2,8,weighted_sum,min_risk,0.0001667678842750975,0.002656320639226093,8,0.1685376528345086,5.933392231241794,0.2474219619,0.622858221
port2,8,weighted_sum,balanced,0.0006528127819845544,0.008588975651949727,8,0.3258468790681097,3.0689261252398747,0.4436747876,0.9451978018
port2,8,weighted_sum,max_return,0.002799358095493474,0.009764517000031293,8,0.986056,1.0141411846791661,0.993,0.995
