method,risk,return,meta,weights
nsga2,0.0007024393699019219,0.0040127773446328365,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2210206765,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1889635334,0.0000000000,0.3450096582,0.2450061319,0.0000000000,0.0000000000"
nsga2,0.0007069836125987593,0.004126102175330777,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2198730104,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1739228345,0.0000000000,0.3174753267,0.2887288283,0.0000000000,0.0000000000"
nsga2,0.0007144346706956055,0.004273566261732604,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2168308850,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1915284305,0.0000000000,0.2715302305,0.3201104540,0.0000000000,0.0000000000"
nsga2,0.0007230114193315525,0.004311362408318616,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1614317755,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1837283834,0.0000000000,0.2925326013,0.3623072398,0.0000000000,0.0000000000"
nsga2,0.0007331130486663758,0.004430789388073738,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2604916563,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2184709270,0.0000000000,0.1951030115,0.3259344052,0.0000000000,0.0000000000"
nsga2,0.0007477843710598386,0.0045453383126516905,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2471185401,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2101688424,0.0000000000,0.1717590295,0.3709535879,0.0000000000,0.0000000000"
nsga2,0.0007548774933629305,0.004631806904648086,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0668216855,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1915324830,0.0000000000,0.3812531478,0.3603926837,0.0000000000,0.0000000000"
nsga2,0.0007584580556904378,0.004683686208942537,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0950160513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2156625027,0.0000000000,0.4001484378,0.2891730082,0.0000000000,0.0000000000"
nsga2,0.0007612727620913181,0.00477278274254037,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1020726299,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2135341394,0.0000000000,0.3854041203,0.2989891104,0.0000000000,0.0000000000"
nsga2,0.000763109023684752,0.0048457156035509544,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1043565902,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2097975753,0.0000000000,0.3688541956,0.3169916389,0.0000000000,0.0000000000"
nsga2,0.00077252278559188,0.005006862914893693,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0859898934,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2158384138,0.0000000000,0.2941062176,0.4040654752,0.0000000000,0.0000000000"
