method,risk,return,meta,weights
nsga2,0.0006784217269186552,0.004131039763853959,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0425809600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0445362936,0.0000000000,0.1379745815,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1651208243,0.0000000000,0.2481219884,0.2128686857,0.1080921488,0.0407045178"
nsga2,0.0006977746730414076,0.00419599498422077,,"0.0000000000,0.0000000000,0.0361962578,0.0000000000,0.0341836786,0.0000000000,0.0000000000,0.0000000000,0.0849346939,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1447975295,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1645599766,0.0000000000,0.2416071210,0.1710402876,0.1226804550,0.0000000000"
nsga2,0.0006982256176842073,0.004318465586065607,,"0.0000000000,0.0000000000,0.0262332003,0.0000000000,0.0340855187,0.0000000000,0.0000000000,0.0000000000,0.0611083195,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1368220894,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1530717016,0.0000000000,0.2402801665,0.2465244717,0.1018745324,0.0000000000"
nsga2,0.0007023629273060294,0.0044430479804612915,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0331285399,0.0000000000,0.0000000000,0.0000000000,0.0827046370,0.0000000000,0.0000000000,0.0000000000,0.0390895695,0.0000000000,0.1653446889,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1526597713,0.0000000000,0.2188928910,0.2109708284,0.0972090739,0.0000000000"
nsga2,0.0007035167885160392,0.004508236986001816,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0496084107,0.0000000000,0.0000000000,0.0000000000,0.0938273018,0.0000000000,0.0000000000,0.0000000000,0.0177307756,0.0000000000,0.1449344644,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1648237239,0.0000000000,0.2402264012,0.1884940073,0.1003549151,0.0000000000"
nsga2,0.0007093934759188934,0.004611110890450096,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0750462893,0.0000000000,0.0000000000,0.0000000000,0.0843541774,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0908642787,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1476641206,0.0000000000,0.2498571806,0.2174151787,0.1077905811,0.0270081936"
nsga2,0.0007172159798361909,0.00472781784668757,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0973593842,0.0000000000,0.0000000000,0.0000000000,0.0280529636,0.0000000000,0.0000000000,0.0000000000,0.0426327149,0.0000000000,0.1085683669,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1652381977,0.0000000000,0.2446900678,0.2249759021,0.0884824028,0.0000000000"
nsga2,0.0007267507035315346,0.004843365900197929,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0610877664,0.0000000000,0.0000000000,0.0000000000,0.1028096943,0.0000000000,0.0000000000,0.0000000000,0.0384350338,0.0000000000,0.1082790011,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1699613383,0.0000000000,0.2457883672,0.2385451384,0.0350936606,0.0000000000"
nsga2,0.0007383911852199615,0.00496968918537828,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0711083728,0.0000000000,0.0000000000,0.0000000000,0.1060459424,0.0000000000,0.0000000000,0.0000000000,0.0232968788,0.0000000000,0.0897071095,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1646172649,0.0000000000,0.2568536572,0.2663448320,0.0220259424,0.0000000000"
nsga2,0.0007553756963273344,0.00506203787375081,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0883560003,0.0000000000,0.0000000000,0.0000000000,0.0407867656,0.0000000000,0.0000000000,0.0000000000,0.0541219330,0.0000000000,0.1513506077,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1755620179,0.0000000000,0.1424083462,0.2883718896,0.0590424396,0.0000000000"
nsga2,0.0007669611226736698,0.005158637745995717,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0797149735,0.0000000000,0.0000000000,0.0000000000,0.0857928843,0.0000000000,0.0000000000,0.0000000000,0.0640516353,0.0000000000,0.1220853631,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1427342323,0.0000000000,0.1545324107,0.2997148021,0.0000000000,0.0513736987"
