method,risk,return,meta,weights
nsga2,0.0007004381956315152,0.004270223576244788,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0501099537,0.0000000000,0.0000000000,0.0000000000,0.0905549108,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0687301475,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0313840476,0.0000000000,0.0000000000,0.0000000000,0.1705815284,0.0000000000,0.2538266366,0.2083091144,0.1265036610,0.0000000000"
nsga2,0.0007080023821185825,0.004278004505402346,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0481358038,0.0000000000,0.0000000000,0.0000000000,0.1046030063,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0843120821,0.0000000000,0.0527828535,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1871665795,0.0000000000,0.2478999286,0.1945335595,0.0805661868,0.0000000000"
nsga2,0.0007140805780284825,0.004455033736487812,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0437438302,0.0000000000,0.0000000000,0.0000000000,0.1119385005,0.0000000000,0.0000000000,0.0238389888,0.0000000000,0.0000000000,0.0722878200,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1907047678,0.0000000000,0.2742200318,0.1986709395,0.0845951215,0.0000000000"
nsga2,0.0007164247013387149,0.004540564055602108,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0641209773,0.0000000000,0.0000000000,0.0000000000,0.0660664390,0.0000000000,0.0000000000,0.0506007197,0.0000000000,0.0000000000,0.0865535924,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2057124644,0.0000000000,0.2581586470,0.1942075518,0.0745796084,0.0000000000"
nsga2,0.0007187252658923608,0.004628010512940128,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0665003780,0.0000000000,0.0000000000,0.0000000000,0.0775905670,0.0000000000,0.0000000000,0.0248689687,0.0000000000,0.0000000000,0.1368033715,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1840523799,0.0000000000,0.2462983599,0.2185608129,0.0453251621,0.0000000000"
nsga2,0.0007328515953980434,0.004676449866179331,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0680698903,0.0000000000,0.0000000000,0.0000000000,0.1076268081,0.0000000000,0.0000000000,0.0493428508,0.0000000000,0.0000000000,0.0876893568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1910399701,0.0000000000,0.2385547918,0.1766914608,0.0809848713,0.0000000000"
nsga2,0.0007390249458829991,0.004805170954550803,,"0.0000000000,0.0337039467,0.0000000000,0.0000000000,0.0703259611,0.0000000000,0.0000000000,0.0000000000,0.1032224308,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0827325979,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1827524492,0.0000000000,0.2152473386,0.2580082860,0.0540069897,0.0000000000"
nsga2,0.0007479909144100829,0.004880052515203846,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0898136602,0.0000000000,0.0000000000,0.0000000000,0.1081816819,0.0000000000,0.0000000000,0.0353081094,0.0000000000,0.0000000000,0.0748017107,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1766111863,0.0000000000,0.2505770292,0.2149873337,0.0497192886,0.0000000000"
nsga2,0.0007549216622449954,0.004945411384062087,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1066927695,0.0000000000,0.0000000000,0.0000000000,0.0890689440,0.0000000000,0.0000000000,0.0273135945,0.0000000000,0.0000000000,0.0383311295,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1782776472,0.0000000000,0.2593714793,0.2448515310,0.0560929049,0.0000000000"
nsga2,0.0007698680367813639,0.005080753084748196,,"0.0000000000,0.0117474304,0.0000000000,0.0000000000,0.1061606354,0.0000000000,0.0000000000,0.0000000000,0.1272388910,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0865764376,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1964969271,0.0000000000,0.2440236300,0.2142134263,0.0135426221,0.0000000000"
nsga2,0.0007720974801968728,0.005129095262656379,,"0.0000000000,0.0295001539,0.0000000000,0.0000000000,0.1023603303,0.0000000000,0.0000000000,0.0000000000,0.1013494596,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0630452320,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1852360475,0.0000000000,0.2304956972,0.2870130793,0.0000000000,0.0000000000"
nsga2,0.0007798885159498571,0.005200383856296147,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1175169192,0.0000000000,0.0000000000,0.0000000000,0.0930649872,0.0000000000,0.0000000000,0.0191493956,0.0000000000,0.0000000000,0.0635703961,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1849542885,0.0000000000,0.2386162525,0.2821277609,0.0010000000,0.0000000000"
nsga2,0.0007890153372485975,0.005230774997745733,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1152448311,0.0000000000,0.0000000000,0.0000000000,0.1084276296,0.0000000000,0.0000000000,0.0399032689,0.0000000000,0.0000000000,0.0800918916,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1980261960,0.0000000000,0.1936163571,0.2351067406,0.0295830850,0.0000000000"
nsga2,0.0007949261530289291,0.00527712416711814,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1069539461,0.0000000000,0.0000000000,0.0000000000,0.0932116135,0.0000000000,0.0000000000,0.0000000000,0.0253495998,0.0000000000,0.0703407072,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1839785585,0.0000000000,0.1608979723,0.3381023727,0.0211652297,0.0000000000"
nsga2,0.0008039206761214203,0.005350286424836506,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1130506679,0.0000000000,0.0000000000,0.0000000000,0.1152107883,0.0000000000,0.0000000000,0.0370947080,0.0000000000,0.0000000000,0.0805890834,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2017899269,0.0000000000,0.1723905494,0.2687935518,0.0110807242,0.0000000000"
nsga2,0.0008127802935495335,0.005390176635543568,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1128473802,0.0000000000,0.0000000000,0.0000000000,0.1218169600,0.0000000000,0.0000000000,0.0335774257,0.0000000000,0.0000000000,0.0719091899,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2120835446,0.0000000000,0.1562928112,0.2722188846,0.0192538037,0.0000000000"
