method,risk,return,meta,weights
weighted_sum,0.0006446292027934534,0.0027457236270028804,alpha=1.000000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0895008920,0.1144616425,0.0453471376,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1478028119,0.0000000000,0.3084388142,0.0900050151,0.1399400352,0.0645036515"
weighted_sum,0.0006488645713382579,0.003122769238229815,alpha=0.916667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0610660485,0.0000000000,0.1163394906,0.0786386156,0.0233587156,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1607652154,0.0000000000,0.3004452629,0.1123242866,0.1470623649,0.0000000000"
weighted_sum,0.0006662300099628997,0.0036966107715310586,alpha=0.833333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0415860802,0.0000000000,0.0000000000,0.0000000000,0.0622433949,0.0000000000,0.1231471438,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1756937927,0.0000000000,0.2896117530,0.1522893339,0.1150011075,0.0404273940"
weighted_sum,0.0007036391232997693,0.004456285143725709,alpha=0.750000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0717402767,0.0000000000,0.0000000000,0.0000000000,0.0650138946,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1272633578,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1876673434,0.0010000000,0.2564149830,0.1973278328,0.0935723117,0.0000000000"
weighted_sum,0.0007556637968213092,0.00502408623895565,alpha=0.666667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1068039087,0.0000000000,0.0000000000,0.0010000000,0.0798008925,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1344747651,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2029493065,0.0000000000,0.2277500504,0.2462210768,0.0000000000,0.0000000000"
weighted_sum,0.000814354865367319,0.005457412799245407,alpha=0.583333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1397729566,0.0000000000,0.0000000000,0.0000000000,0.0994365180,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0930253739,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1982066783,0.0000000000,0.1772891770,0.2902692963,0.0000000000,0.0000000000"
weighted_sum,0.0009267093642418751,0.006045604974627164,alpha=0.500000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1878485550,0.0000000000,0.0000000000,0.0000000000,0.1271699693,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0393341674,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1959513632,0.0000000000,0.1107411558,0.3369547893,0.0000000000,0.0000000000"
weighted_sum,0.0011367689876884655,0.006823599867126868,alpha=0.416667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2497982772,0.0000000000,0.0000000000,0.0000000000,0.1603365841,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1880059392,0.0000000000,0.0018871795,0.3969720200,0.0000000000,0.0000000000"
weighted_sum,0.0013190064239180328,0.007292650141739754,alpha=0.333333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3267657090,0.0000000000,0.0000000000,0.0010000000,0.1816434780,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1433618651,0.0000000000,0.0010000000,0.3442289479,0.0000000000,0.0000000000"
weighted_sum,0.001764313141400169,0.008071365022343506,alpha=0.250000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4549742112,0.0000000000,0.0000000000,0.0010000000,0.2177690243,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0695415173,0.0000000000,0.0000000000,0.2537152473,0.0000000000,0.0000000000"
weighted_sum,0.0030714526626811345,0.009512710849243747,alpha=0.166667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7020445000,0.0000000000,0.0000000000,0.0010000000,0.2815114982,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0114440018,0.0000000000,0.0000000000"
weighted_sum,0.004723292975549704,0.01057193628768604,alpha=0.083333,"0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.9930000000,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000"
weighted_sum,0.004725434011557539,0.010572707155690078,alpha=0.000000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9930000000,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000"
