method,risk,return,meta,weights
nsga2,0.0005471861708866683,0.0042385292994515525,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0497036010,0.0000000000,0.0000000000,0.0000000000,0.0575795243,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1036314982,0.0448015638,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1655554429,0.0000000000,0.2924920506,0.2155598771,0.0706764422,0.0000000000"
nsga2,0.0005524633957088864,0.0044046817247945635,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0653070497,0.0000000000,0.0000000000,0.0000000000,0.0584125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0974896412,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1605762925,0.0000000000,0.2764833317,0.2009798407,0.0689705367,0.0717807698"
nsga2,0.0005608651091126501,0.0044682476550613305,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0340642987,0.0000000000,0.0000000000,0.0000000000,0.0874965525,0.0000000000,0.0000000000,0.0000000000,0.0469379207,0.0000000000,0.1644947063,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1667137671,0.0000000000,0.2600196391,0.1902846219,0.0499884938,0.0000000000"
nsga2,0.0005644844446193531,0.004594909175672746,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0709431656,0.0000000000,0.0000000000,0.0000000000,0.0700996486,0.0000000000,0.0000000000,0.0000000000,0.0553360504,0.0000000000,0.0869703538,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1653073474,0.0000000000,0.2769876243,0.1950419037,0.0793139063,0.0000000000"
nsga2,0.000579601435731193,0.004839525748285855,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0674029399,0.0000000000,0.0000000000,0.0000000000,0.0854213314,0.0000000000,0.0000000000,0.0000000000,0.0418109305,0.0000000000,0.1559176484,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1670958064,0.0000000000,0.2465507955,0.2215011577,0.0142993902,0.0000000000"
nsga2,0.0005893468892281104,0.004953437847660511,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0728515995,0.0000000000,0.0000000000,0.0000000000,0.0951076915,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1371698556,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1548893746,0.0000000000,0.2068931153,0.2756086250,0.0564797386,0.0000000000"
nsga2,0.0006052271342962305,0.005082368672643377,,"0.0000000000,0.0173117860,0.0000000000,0.0000000000,0.1060810732,0.0000000000,0.0000000000,0.0000000000,0.0594949847,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0312022486,0.0228312690,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1697777524,0.0000000000,0.2752447454,0.3180561407,0.0000000000,0.0000000000"
nsga2,0.0006099232325157435,0.005224190609120847,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0913530791,0.0000000000,0.0000000000,0.0000000000,0.1010549926,0.0000000000,0.0000000000,0.0000000000,0.0394425494,0.0000000000,0.1240984035,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1658622628,0.0000000000,0.1941280731,0.2674519255,0.0000000000,0.0166087140"
nsga2,0.0006132694722699461,0.005263944962984652,,"0.0000000000,0.0113139077,0.0000000000,0.0000000000,0.1137061026,0.0000000000,0.0000000000,0.0000000000,0.0715518465,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1323206808,0.0113993381,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1487077419,0.0000000000,0.2123207979,0.2986795845,0.0000000000,0.0000000000"
nsga2,0.0006245970348168698,0.005363996044878188,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0985899656,0.0000000000,0.0000000000,0.0000000000,0.1236268994,0.0000000000,0.0000000000,0.0000000000,0.0152382964,0.0000000000,0.1253254898,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1629321507,0.0000000000,0.1876715015,0.2754326158,0.0000000000,0.0111830808"
