method,risk,return,meta,weights
weighted_sum,0.0007735550433521443,0.002768877695210922,alpha=1.000000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0895008920,0.1144616425,0.0453471376,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1478028119,0.0000000000,0.3084388142,0.0900050151,0.1399400352,0.0645036515"
weighted_sum,0.0007779681403076949,0.003235680997201632,alpha=0.916667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0556595228,0.0000000000,0.1123842988,0.0720412828,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1603100781,0.0000000000,0.3026794706,0.1156232272,0.1278666898,0.0534354299"
weighted_sum,0.0008007882459382545,0.0038216888411095246,alpha=0.833333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0389355169,0.0000000000,0.0000000000,0.0000000000,0.0600490841,0.0000000000,0.1276362088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1744507961,0.0000000000,0.2873289775,0.1631519907,0.1049480766,0.0434993493"
nsga2,0.0008173766426999438,0.003833139578802221,,"0.0000000000,0.0000000000,0.0426351075,0.0000000000,0.0273354788,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1002198709,0.0561158952,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1754316619,0.0000000000,0.2495681935,0.2480850019,0.1006087904,0.0000000000"
nsga2,0.0008267954659813745,0.003890860930151267,,"0.0000000000,0.0000000000,0.0418962775,0.0000000000,0.0338489736,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0952752201,0.0000000000,0.0533932461,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1729559133,0.0000000000,0.2485556861,0.2491301177,0.1049445657,0.0000000000"
nsga2,0.0008278395977600047,0.004064410096675404,,"0.0000000000,0.0000000000,0.0428525169,0.0000000000,0.0373652603,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0944298590,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1707768931,0.0000000000,0.2494565306,0.2608964085,0.1082026914,0.0360198402"
nsga2,0.0008283666626704559,0.0043969823136268595,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0503127352,0.0000000000,0.0000000000,0.0000000000,0.0255691686,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1243322686,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1673309810,0.0000000000,0.2538152313,0.2637011031,0.0694737744,0.0454647379"
nsga2,0.0008434834370405735,0.004568337572409863,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0448045053,0.0000000000,0.0000000000,0.0000000000,0.0645879446,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1213775575,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2030080197,0.0000000000,0.2379639717,0.2469942424,0.0470599219,0.0342038368"
weighted_sum,0.0008488399549486011,0.004682961518092524,alpha=0.750000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0710985112,0.0000000000,0.0000000000,0.0000000000,0.0488271172,0.0000000000,0.0000000000,0.0000000000,0.0152596662,0.0000000000,0.1359624119,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1823309705,0.0000000000,0.2569489699,0.2365017599,0.0530705933,0.0000000000"
nsga2,0.0008625908324626432,0.004699248908045664,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0534751254,0.0000000000,0.0000000000,0.0000000000,0.0703742643,0.0000000000,0.0000000000,0.0000000000,0.0417341031,0.0000000000,0.1114552704,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0436330834,0.0000000000,0.0000000000,0.0000000000,0.1670443951,0.0000000000,0.2511536221,0.2611301362,0.0000000000,0.0000000000"
nsga2,0.0008930941966805623,0.0048652525993815145,,"0.0000000000,0.0000000000,0.0549705742,0.0000000000,0.0988817593,0.0000000000,0.0000000000,0.0000000000,0.0574136236,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1158666947,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1577962108,0.0000000000,0.2301922557,0.2529277066,0.0000000000,0.0319511752"
nsga2,0.000895102949850427,0.005053988007386827,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1203641468,0.0000000000,0.0000000000,0.0000000000,0.0599215703,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0893537190,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1524709305,0.0000000000,0.2320830942,0.2592209885,0.0550818938,0.0315036569"
weighted_sum,0.0009034689297178958,0.0051912662151511165,alpha=0.666667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1043172673,0.0000000000,0.0000000000,0.0000000000,0.0744249305,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.1294201456,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.1954122712,0.0000000000,0.2310843730,0.2633410124,0.0000000000,0.0000000000"
nsga2,0.0009258614528610995,0.005284423728605313,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1400042761,0.0000000000,0.0000000000,0.0000000000,0.0522651431,0.0000000000,0.0000000000,0.0000000000,0.0104693204,0.0000000000,0.0942886520,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1503474791,0.0000000000,0.2370079468,0.2749845775,0.0000000000,0.0406326049"
epsilon_constraint,0.0009279105358179545,0.005378283583717559,epsilon_risk=0.000928,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1141397765,0.0000000000,0.0000000000,0.0000000000,0.0727915921,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1158621322,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1884560100,0.0000000000,0.1994773098,0.3072731794,0.0010000000,0.0010000000"
nsga2,0.0009407330618163743,0.005378817966501281,,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1009199997,0.0000000000,0.0000000000,0.0000000000,0.1006180450,0.0000000000,0.0000000000,0.0000000000,0.0197339016,0.0000000000,0.0822415369,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0097811260,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1532224332,0.0000000000,0.2046283233,0.3288546345,0.0000000000,0.0000000000"
