method,risk,return,meta,weights
weighted_sum,0.0007735550433521443,0.002768877695210922,alpha=1.000000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0895008920,0.1144616425,0.0453471376,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1478028119,0.0000000000,0.3084388142,0.0900050151,0.1399400352,0.0645036515"
weighted_sum,0.0007779681403076949,0.003235680997201632,alpha=0.916667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0556595228,0.0000000000,0.1123842988,0.0720412828,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1603100781,0.0000000000,0.3026794706,0.1156232272,0.1278666898,0.0534354299"
weighted_sum,0.0008007882459382545,0.0038216888411095246,alpha=0.833333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0389355169,0.0000000000,0.0000000000,0.0000000000,0.0600490841,0.0000000000,0.1276362088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1744507961,0.0000000000,0.2873289775,0.1631519907,0.1049480766,0.0434993493"
weighted_sum,0.0008488399549486011,0.004682961518092524,alpha=0.750000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0710985112,0.0000000000,0.0000000000,0.0000000000,0.0488271172,0.0000000000,0.0000000000,0.0000000000,0.0152596662,0.0000000000,0.1359624119,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1823309705,0.0000000000,0.2569489699,0.2365017599,0.0530705933,0.0000000000"
weighted_sum,0.0009034689297178958,0.0051912662151511165,alpha=0.666667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1043172673,0.0000000000,0.0000000000,0.0000000000,0.0744249305,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.1294201456,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.1954122712,0.0000000000,0.2310843730,0.2633410124,0.0000000000,0.0000000000"
weighted_sum,0.0009712166482716191,0.005632367142830977,alpha=0.583333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1391615494,0.0000000000,0.0000000000,0.0010000000,0.0917945494,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0963562301,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1939648001,0.0000000000,0.1794803705,0.2972425006,0.0000000000,0.0010000000"
weighted_sum,0.0011073398719911984,0.006261251287192939,alpha=0.500000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1840061377,0.0000000000,0.0000000000,0.0000000000,0.1133489291,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0476364103,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1828982984,0.0000000000,0.1008444767,0.3692657478,0.0010000000,0.0000000000"
weighted_sum,0.0013483083844530743,0.007050249731526199,alpha=0.416667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2438354844,0.0000000000,0.0000000000,0.0000000000,0.1397738936,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1677532302,0.0000000000,0.0010000000,0.4446373917,0.0000000000,0.0000000000"
weighted_sum,0.0015482898591636287,0.007496668561048421,alpha=0.333333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3181922660,0.0000000000,0.0000000000,0.0000000000,0.1525611596,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1145618970,0.0000000000,0.0010000000,0.4106846774,0.0000000000,0.0000000000"
weighted_sum,0.0020402106239342725,0.008243613020889242,alpha=0.250000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4421849748,0.0000000000,0.0000000000,0.0010000000,0.1739336921,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0263160785,0.0000000000,0.0000000000,0.3535652546,0.0000000000,0.0000000000"
weighted_sum,0.003318546844290661,0.009465995396701876,alpha=0.166667,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6722463950,0.0000000000,0.0000000000,0.0010000000,0.2005744179,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.1221791870,0.0000000000,0.0000000000"
weighted_sum,0.005668240582431546,0.010826279000105058,alpha=0.083333,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9930000000,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000"
weighted_sum,0.005670520813874723,0.010826917000105685,alpha=0.000000,"0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9930000000,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0010000000,0.0000000000,0.0000000000"
