dataset,n_assets,k,method,pareto_points,min_risk,max_return,elapsed_sec,output_subdir
port1,31,2,weighted_sum,14,0.0009054648916407917,0.010861250000050525,0.5886635780334473,port1_k2
port1,31,2,epsilon_constraint,16,0.0008185511052027995,0.010160216651966805,1.37068510055542,port1_k2
port1,31,2,nsga2,80,0.0007987285182071979,0.010655775980590842,0.5728170871734619,port1_k2
port1,31,2,combined_pareto,108,0.0007987285182071979,0.010861250000050525,2.532165765762329,port1_k2
port1,31,4,weighted_sum,19,0.0006842918436906067,0.010850631000076048,1.240978717803955,port1_k4
port1,31,4,epsilon_constraint,21,0.0008039358559782611,0.009401750906491124,14.590251445770264,port1_k4
port1,31,4,nsga2,79,0.0007024393699019219,0.009367349789259214,0.6305737495422363,port1_k4
port1,31,4,combined_pareto,107,0.0006842918436906067,0.010850631000076048,16.461803913116455,port1_k4
port1,31,8,weighted_sum,20,0.0006446292055525299,0.01082691700001733,4.196980237960815,port1_k8
port1,31,8,epsilon_constraint,21,0.0008636299766954404,0.009229542036296348,24.859917163848877,port1_k8
port1,31,8,nsga2,80,0.000689954463064687,0.008625094122973452,0.8128023147583008,port1_k8
port1,31,8,combined_pareto,101,0.0006446292055525299,0.01082691700001733,29.869699716567993,port1_k8
port1,31,16,weighted_sum,20,0.0006463458526008819,0.010772564000077402,7.882339000701904,port1_k16
port1,31,16,epsilon_constraint,21,0.0007910929714380659,0.008683173100405336,50.071709871292114,port1_k16
port1,31,16,nsga2,79,0.0006871569503138377,0.007357822946634306,1.2212624549865723,port1_k16
port1,31,16,combined_pareto,102,0.0006463458526008819,0.010772564000077402,59.17531132698059,port1_k16
port2,85,2,weighted_sum,19,0.00040512611502791765,0.009793032000084637,1.0281827449798584,port2_k2
port2,85,2,epsilon_constraint,19,0.0003587911822119003,0.00979303200007334,2.20491623878479,port2_k2
port2,85,2,nsga2,80,0.00027367025241907636,0.009717867132644706,0.7287502288818359,port2_k2
port2,85,2,combined_pareto,111,0.00027367025241907636,0.00979303200007334,3.9618492126464844,port2_k2
port2,85,4,weighted_sum,20,0.00023892991737707885,0.00978649100002647,1.4030640125274658,port2_k4
port2,85,4,epsilon_constraint,21,0.00031406606443522864,0.009607471322960817,8.734035968780518,port2_k4
port2,85,4,nsga2,79,0.00020431151014245415,0.009355247052326819,0.8043050765991211,port2_k4
port2,85,4,combined_pareto,99,0.00020431151014245415,0.00978649100002647,10.941405057907104,port2_k4
port2,85,8,weighted_sum,20,0.0001667678842750975,0.009764517000031293,2.3100967407226562,port2_k8
port2,85,8,epsilon_constraint,21,0.00031043118492283395,0.009544528424585884,16.79025411605835,port2_k8
port2,85,8,nsga2,80,0.00018377291161630958,0.007816673180036149,0.9717693328857422,port2_k8
port2,85,8,combined_pareto,98,0.0001667678842750975,0.009764517000031293,20.072120189666748,port2_k8
port2,85,16,weighted_sum,21,0.00013845713910623142,0.009712529000033918,8.885746479034424,port2_k16
port2,85,16,epsilon_constraint,21,0.0002201494202828459,0.00924999892613565,61.72544550895691,port2_k16
port2,85,16,nsga2,77,0.00016149565863961493,0.0066417103291223625,1.3998901844024658,port2_k16
port2,85,16,combined_pareto,92,0.00013845713910623142,0.009712529000033918,72.0110821723938,port2_k16
port3,89,2,weighted_sum,14,0.0003773535728835889,0.008207655000056468,0.8971884250640869,port3_k2
port3,89,2,epsilon_constraint,16,0.00043130583586823904,0.008207655000041862,2.0824642181396484,port3_k2
port3,89,2,nsga2,79,0.00039137254305216093,0.008098524632753847,0.7756655216217041,port3_k2
port3,89,2,combined_pareto,99,0.0003773535728835889,0.008207655000041862,3.7553181648254395,port3_k2
port3,89,4,weighted_sum,18,0.0002844831489777544,0.008203276000045863,1.5875728130340576,port3_k4
port3,89,4,epsilon_constraint,21,0.00035636489684472025,0.008158159274136463,20.048893928527832,port3_k4
port3,89,4,nsga2,80,0.00026549568151723905,0.007117091349846742,0.7947704792022705,port3_k4
port3,89,4,combined_pareto,103,0.00026549568151723905,0.008203276000045863,22.43123722076416,port3_k4
port3,89,8,weighted_sum,20,0.00021712605652985214,0.008190906000076393,5.247103214263916,port3_k8
port3,89,8,epsilon_constraint,21,0.0003182218759408054,0.007932627973301304,39.16199588775635,port3_k8
port3,89,8,nsga2,80,0.0002468363025447154,0.007659765624021492,0.9809389114379883,port3_k8
port3,89,8,combined_pareto,80,0.00021712605652985214,0.008190906000076393,45.39003801345825,port3_k8
port3,89,16,weighted_sum,20,0.0002003651807073497,0.008160745000034818,13.168801069259644,port3_k16
port3,89,16,epsilon_constraint,21,0.000347130645307329,0.007343966875700593,72.4607605934143,port3_k16
port3,89,16,nsga2,79,0.0002291074638031892,0.005532196007986421,1.4330737590789795,port3_k16
port3,89,16,combined_pareto,95,0.0002003651807073497,0.008160745000034818,87.06263542175293,port3_k16
port4,98,2,weighted_sum,18,0.00029164454718486423,0.009194561000087175,1.069596290588379,port4_k2
port4,98,2,epsilon_constraint,15,0.00046798865650903097,0.009194561000082055,2.7893571853637695,port4_k2
port4,98,2,nsga2,80,0.0003247448669705384,0.00918777013667246,0.7554018497467041,port4_k2
port4,98,2,combined_pareto,98,0.00029164454718486423,0.009194561000082055,4.6143553256988525,port4_k2
port4,98,4,weighted_sum,19,0.00019593133674444997,0.009191907000080038,1.6180808544158936,port4_k4
port4,98,4,epsilon_constraint,21,0.0003134221871617823,0.009098504497175449,19.706633806228638,port4_k4
port4,98,4,nsga2,78,0.0002272662541319611,0.007865055157978152,0.8494248390197754,port4_k4
port4,98,4,combined_pareto,102,0.00019593133674444997,0.009191907000080038,22.174139499664307,port4_k4
port4,98,8,weighted_sum,19,0.00015073524709442878,0.009179591000048762,2.9607651233673096,port4_k8
port4,98,8,epsilon_constraint,21,0.00026851409951184817,0.008870898935528311,43.0065860748291,port4_k8
port4,98,8,nsga2,79,0.00017394279762098557,0.007833326053921424,1.004690170288086,port4_k8
port4,98,8,combined_pareto,99,0.00015073524709442878,0.009179591000048762,46.9720413684845,port4_k8
port4,98,16,weighted_sum,21,0.00012698590808323196,0.009143504000067281,8.245927095413208,port4_k16
port4,98,16,epsilon_constraint,21,0.00023263862868168943,0.008498215611429391,89.11295533180237,port4_k16
port4,98,16,nsga2,80,0.00015531961032665928,0.007083818530310047,1.4335174560546875,port4_k16
port4,98,16,combined_pareto,76,0.00012698590808323196,0.009143504000067281,98.79239988327026,port4_k16
port5,225,2,weighted_sum,19,0.0005504011231118427,0.003970759000034503,3.3332278728485107,port5_k2
port5,225,2,epsilon_constraint,9,0.000620921786753587,0.003970759000024941,4.165760040283203,port5_k2
port5,225,2,nsga2,78,0.0005148299407412442,0.003705376473331975,1.144435167312622,port5_k2
port5,225,2,combined_pareto,91,0.0005148299407412442,0.003970759000024941,8.643423080444336,port5_k2
port5,225,4,weighted_sum,21,0.0003366602655199417,0.003969755000008705,6.062097549438477,port5_k4
port5,225,4,epsilon_constraint,10,0.0005576813087825893,0.003969755000030217,11.415132284164429,port5_k4
port5,225,4,nsga2,80,0.00036647786796716194,0.0032201749836178236,1.2441134452819824,port5_k4
port5,225,4,combined_pareto,98,0.0003366602655199417,0.003969755000008705,18.721343278884888,port5_k4
port5,225,8,weighted_sum,21,0.00031469239954014683,0.003966769000016858,15.2936270236969,port5_k8
port5,225,8,epsilon_constraint,13,0.0005942734427279776,0.0039667689999805305,21.45503044128418,port5_k8
port5,225,8,nsga2,37,0.0003760006829299392,0.0033085845026829615,1.4232409000396729,port5_k8
port5,225,8,combined_pareto,52,0.00031469239954014683,0.0039667689999805305,38.17189836502075,port5_k8
